,customer_id,purchase_date,product_category,product_price,quantity,payment_method,customer_age,gender
0,14853,2020-01-01 00:22:42,Books,93.00,2,PayPal,53,Male
1,16006,2020-01-01 00:34:38,Electronics,125.00,1,Credit Card,37,Female
2,14097,2020-01-01 00:51:33,Clothing,293.00,1,Credit Card,70,Male
3,11668,2020-01-01 01:07:45,Electronics,369.00,1,Credit Card,60,Male
4,8735,2020-01-01 01:38:01,Home,109.00,3,PayPal,39,Female
5,16571,2020-01-01 01:53:38,Home,282.00,3,PayPal,70,Female
6,9146,2020-01-01 01:59:05,Clothing,411.00,5,Credit Card,28,Male
7,8514,2020-01-01 02:02:01,Books,172.00,1,Crypto,38,Female
8,2513,2020-01-01 02:11:02,Home,340.00,5,Crypto,66,Female
9,3420,2020-01-01 02:29:41,Electronics,493.00,2,Cash,68,Female
10,15539,2020-01-01 02:30:09,Clothing,464.00,1,Credit Card,51,Male
11,16100,2020-01-01 02:34:21,Electronics,159.00,3,Credit Card,52,Female
12,6679,2020-01-01 02:38:37,Books,134.00,1,Credit Card,60,Male
13,4142,2020-01-01 02:43:23,Books,351.00,4,Crypto,55,Female
14,8291,2020-01-01 02:55:59,Electronics,45.00,1,Credit Card,20,Female
15,9676,2020-01-01 03:04:58,Electronics,488.00,2,PayPal,30,Female
16,10914,2020-01-01 03:19:56,Books,420.00,4,PayPal,48,Female
17,18115,2020-01-01 03:50:29,Electronics,317.00,5,PayPal,41,Male
18,5936,2020-01-01 03:53:31,Clothing,483.00,2,PayPal,47,Female
19,17316,2020-01-01 03:56:52,Books,128.00,4,Credit Card,24,Male
20,17702,2020-01-01 04:12:25,Clothing,52.00,1,Credit Card,43,Female
21,12907,2020-01-01 04:13:21,Electronics,206.00,4,Credit Card,32,Female
22,8257,2020-01-01 04:13:42,Books,435.00,5,PayPal,65,Female
23,1856,2020-01-01 04:33:31,Clothing,138.00,3,PayPal,53,Male
24,8654,2020-01-01 04:51:00,Clothing,406.00,2,Credit Card,63,Female
25,16672,2020-01-01 05:04:40,Books,17.00,2,PayPal,30,Male
26,9312,2020-01-01 05:47:56,Books,451.00,2,PayPal,27,Female
27,5096,2020-01-01 06:01:21,Home,173.00,4,Crypto,48,Female
28,18601,2020-01-01 06:13:41,Home,381.00,3,PayPal,40,Male
29,3752,2020-01-01 06:21:34,Books,156.00,4,Credit Card,18,Female
30,5910,2020-01-01 06:29:37,Clothing,296.00,4,Credit Card,33,Female
31,7685,2020-01-01 06:42:11,Electronics,390.00,4,Cash,47,Female
32,1573,2020-01-01 07:28:55,Home,412.00,1,PayPal,22,Female
33,18235,2020-01-01 07:57:02,Electronics,156.00,2,Credit Card,53,Female
34,3295,2020-01-01 08:24:34,Books,247.00,3,Cash,47,Male
35,11265,2020-01-01 08:41:30,Clothing,51.00,1,Credit Card,25,Female
36,19770,2020-01-01 09:10:51,Electronics,266.00,3,Crypto,34,Female
37,2576,2020-01-01 09:14:20,Electronics,355.00,5,Credit Card,66,Female
38,15913,2020-01-01 09:30:39,Books,164.00,3,Crypto,43,Male
39,17657,2020-01-01 09:42:47,Clothing,436.00,4,PayPal,49,Male
40,15834,2020-01-01 09:43:25,Home,385.00,1,Cash,69,Male
41,16270,2020-01-01 10:01:29,Books,362.00,4,Credit Card,34,Female
42,17359,2020-01-01 10:06:30,Books,375.00,2,Crypto,40,Male
43,4584,2020-01-01 10:59:04,Clothing,407.00,4,Cash,66,Male
44,14360,2020-01-01 11:19:14,Clothing,466.00,1,Credit Card,51,Female
45,16282,2020-01-01 11:19:45,Books,82.00,4,Credit Card,35,Female
46,8647,2020-01-01 11:39:33,Clothing,259.00,3,PayPal,33,Female
47,2363,2020-01-01 12:20:08,Books,59.00,5,PayPal,28,Female
48,9257,2020-01-01 13:57:44,Home,390.00,4,Cash,55,Female
49,12238,2020-01-01 14:05:18,Electronics,248.00,5,PayPal,20,Male
50,9327,2020-01-01 14:33:57,Books,147.00,2,Credit Card,30,Female
51,9591,2020-01-01 14:35:10,Books,92.00,3,Credit Card,54,Female
52,6278,2020-01-01 14:45:00,Clothing,281.00,5,PayPal,23,Female
53,15392,2020-01-01 15:02:17,Books,299.00,3,Credit Card,21,Male
54,11999,2020-01-01 15:09:53,Home,187.00,4,Cash,36,Male
55,3128,2020-01-01 15:18:03,Books,253.00,2,Credit Card,49,Male
56,8365,2020-01-01 15:21:31,Clothing,283.00,4,PayPal,21,Female
57,9451,2020-01-01 15:34:26,Clothing,366.00,1,Credit Card,47,Female
58,8316,2020-01-01 16:07:20,Home,392.00,2,Crypto,43,Male
59,17131,2020-01-01 16:43:07,Books,94.00,5,PayPal,18,Female
60,9242,2020-01-01 17:00:29,Home,90.00,1,Credit Card,33,Male
61,31,2020-01-01 17:04:49,Books,49.00,3,Credit Card,23,Female
62,17209,2020-01-01 17:28:04,Clothing,300.00,1,Credit Card,25,Male
63,8349,2020-01-01 17:54:24,Electronics,165.00,3,Cash,47,Female
64,5821,2020-01-01 18:01:06,Books,311.00,1,Credit Card,27,Female
65,7647,2020-01-01 18:12:35,Home,460.00,2,Credit Card,51,Female
66,4556,2020-01-01 18:13:55,Clothing,269.00,2,Credit Card,25,Female
67,9206,2020-01-01 18:21:55,Home,258.00,3,Cash,60,Male
68,15777,2020-01-01 18:30:12,Books,150.00,3,PayPal,28,Male
69,19995,2020-01-01 18:39:03,Clothing,161.00,2,Credit Card,18,Female
70,1107,2020-01-01 18:46:54,Home,187.00,5,PayPal,19,Female
71,12631,2020-01-01 18:59:15,Books,238.00,3,PayPal,23,Male
72,3094,2020-01-01 19:03:31,Clothing,236.00,4,Crypto,69,Male
73,5363,2020-01-01 20:03:35,Clothing,287.00,5,Credit Card,20,Male
74,223,2020-01-01 20:13:11,Home,27.00,2,Cash,23,Female
75,16692,2020-01-01 20:21:08,Home,48.00,5,PayPal,39,Female
76,8249,2020-01-01 20:59:02,Books,160.00,1,Crypto,36,Female
77,13426,2020-01-01 21:07:58,Electronics,31.00,2,Credit Card,69,Male
78,4027,2020-01-01 21:38:15,Electronics,368.00,5,Crypto,67,Male
79,1954,2020-01-01 21:57:57,Clothing,302.00,5,Cash,48,Male
80,8071,2020-01-01 22:05:24,Books,215.00,3,Credit Card,50,Male
81,17491,2020-01-01 22:23:54,Electronics,399.00,4,Credit Card,18,Female
82,8701,2020-01-01 22:27:42,Home,227.00,2,PayPal,33,Male
83,2788,2020-01-01 22:39:02,Clothing,350.00,2,PayPal,33,Male
84,9517,2020-01-01 22:46:25,Books,289.00,5,Cash,39,Female
85,6931,2020-01-01 22:50:34,Books,237.00,3,PayPal,40,Female
86,8603,2020-01-01 23:11:44,Electronics,285.00,4,PayPal,41,Male
87,11969,2020-01-01 23:25:16,Books,51.00,5,Credit Card,63,Female
88,4003,2020-01-01 23:25:39,Electronics,201.00,2,Cash,64,Female
89,7895,2020-01-02 00:30:29,Home,373.00,3,Cash,40,Female
90,775,2020-01-02 01:10:12,Clothing,86.00,5,Credit Card,23,Male
91,962,2020-01-02 01:30:26,Books,346.00,4,Cash,66,Male
92,3813,2020-01-02 02:16:25,Home,414.00,2,Credit Card,66,Female
93,1552,2020-01-02 02:34:02,Home,245.00,2,Credit Card,37,Female
94,17770,2020-01-02 02:38:25,Clothing,397.00,3,PayPal,19,Male
95,4834,2020-01-02 03:06:14,Books,355.00,5,Cash,66,Male
96,6120,2020-01-02 03:14:00,Home,29.00,4,Cash,66,Female
97,12204,2020-01-02 05:16:15,Home,446.00,5,PayPal,59,Female
98,4246,2020-01-02 06:11:09,Home,380.00,5,Credit Card,46,Male
99,13587,2020-01-02 06:18:02,Electronics,167.00,5,Credit Card,66,Male
100,6871,2020-01-02 06:50:05,Home,145.00,2,PayPal,42,Male
101,12441,2020-01-02 06:50:21,Electronics,397.00,1,Credit Card,20,Female
102,18784,2020-01-02 06:53:29,Books,101.00,2,Credit Card,62,Male
103,3420,2020-01-02 07:10:29,Home,126.00,4,Credit Card,68,Female
104,19796,2020-01-02 07:23:22,Electronics,198.00,3,Cash,69,Male
105,4695,2020-01-02 07:36:00,Clothing,218.00,1,PayPal,55,Male
106,12424,2020-01-02 07:48:59,Home,147.00,2,PayPal,49,Male
107,5125,2020-01-02 07:59:13,Books,469.00,2,Crypto,53,Female
108,15672,2020-01-02 08:52:59,Books,207.00,1,Credit Card,23,Male
109,3818,2020-01-02 08:56:24,Books,261.00,2,Credit Card,27,Female
